text,adult_rating
Who would you hire to plan your best friend's wedding?,FALSE
Who always ends up tripping their partner on the dance floor?,FALSE
Who can solve a Rubik's Cube the fastest?,FALSE
Who has played the game Twister naked?,TRUE
Who drinks whiskey in their coffee at work?,TRUE
Who has thrown a birthday party for their pet?,FALSE
Who doesn't need to use the instructions when putting together IKEA furniture?,FALSE
"Which player would make the best ""adult video"" with the players on both sides of them?",TRUE
Who falls up the stairs?,FALSE
Who has the most complicated order at Starbucks?,FALSE
Who gets kicked off the stage singing karaoke?,FALSE
Whose standards drop the most after a few drinks?,TRUE
Who would put pot in the brownies out at the church bake sale?,TRUE
Who is truly one in 7 billion?,FALSE
Who doesn't act their age?,FALSE
Whose life would win Best Picture if it were turned into a film?,FALSE
Who would be the best stand-up comedian?,FALSE
Whose upbringing had the least amount of influence on their choices?,FALSE
Who claims that they could quit their bad habits immediately if only they wanted to?,FALSE
Who is obviously an only child?,FALSE
Who would drink their own urine for the lease amount of money?,TRUE
Who will become a liability after the fewest number of drinks?,TRUE
Who has been the most offended by this game?,TRUE
Who isn't wearing underwear right now? Prove it.,TRUE
Who can't name all 7 continents?,FALSE
Who wears the pants?,FALSE
Who would be the creepiest clown?,FALSE
Who clogs the toilet at a friend's house and says nothing?,FALSE
Who has most recently lied to get ahead?,FALSE
Who will show up to their high school reunion in a Lamborghini rental?,FALSE
Who drops someone in a trust fall on purpose?,FALSE
Who would make $10k in commission the fastest selling used cars?,FALSE
Who has gone to church drunk?,TRUE
Who pees in the pool every time?,FALSE
Who hits snooze on their alarm clock at least 5 times before getting out of bed?,FALSE
Who has spent the most time stalking my Facebook profile page?,FALSE
Who has binge-watched an entire season of a TV show without leaving the house?,FALSE
Who is the most frequently awake at 4am?,FALSE
Who has vomited in the most awkward place?,FALSE
Who will have a statue made in their honor?,FALSE
Whose life will dramatically change in the next 6 months?,FALSE
Who frequently leaves their number for the waitstaff at restaurants?,TRUE
Who was the oldest when they had their first kiss?,TRUE
Whose Google search history would you like to see the most?,FALSE
Who would survive the longest in a zombie apocalypse?,FALSE
Who will marry someone who isn't born yet?,TRUE
Who believes money can buy happiness?,FALSE
Who is the first in line for Hell?,TRUE
Who is the first in line for a new Star Wars movie?,FALSE
Who is the first in line for the Star Trek convention?,FALSE
Who will resend a text if you haven't responded in 10 minutes?,FALSE
Who is smarter than people think?,FALSE
Who is smarter than they think?,FALSE
Who has made out in the back of a taxi?,TRUE
Who is most likely to go on a 30-day silent meditation retreat?,FALSE
Who will your great-grandchildren read about in school?,FALSE
Who is most likely to publish a book?,FALSE
"Who is most likely to have an invention in the ""As Seen On TV"" section?",FALSE
Whose real name would make the best porn star name?,TRUE
